Contcod,Group,Measure Names,R Rinc,Running Sum of Pop
BRA,6,Running Sum of Population,1713,2876.853756300
ROU,1,Running Sum of Population,1716,2879.159522500
TTO,4,Running Sum of Population,1719,2879.279644900
PRT,1,Running Sum of Population,1722,2880.281605900
LTU,1,Running Sum of Population,1723,2880.647110800
HND,9,Running Sum of Population,1727,2881.108935300
CHL,6,Running Sum of Population,1737,2882.382276200
EGY,9,Running Sum of Population,1738,2887.825648200
IND-U,10,Running Sum of Population,1781,2908.784894600
HUN,3,Running Sum of Population,1793,2909.844543300
MEX,3,Running Sum of Population,1803,2917.945552900
TUN,7,Running Sum of Population,1810,2918.731314800
JAM,6,Running Sum of Population,1815,2918.966954800
ARG,2,Running Sum of Population,1842,2922.139867800
CIV,9,Running Sum of Population,1858,2923.309299600
GBR,1,Running Sum of Population,1866,2929.002132400
COL,6,Running Sum of Population,1891,2932.193457400
IRN,6,Running Sum of Population,1914,2937.374531800
JOR,5,Running Sum of Population,1917,2937.669331800
GTM,9,Running Sum of Population,1935,2938.521852900
BOL,7,Running Sum of Population,1937,2939.158199900
VEN,5,Running Sum of Population,1942,2941.042127700
CRI,6,Running Sum of Population,1947,2941.333784300
PRY,4,Running Sum of Population,1963,2941.736147100
TUR,6,Running Sum of Population,1968,2946.963997100
THA,9,Running Sum of Population,1970,2952.501049900
KOR,1,Running Sum of Population,1977,2956.698549900
ESP,1,Running Sum of Population,1989,2960.570134700
DOM,8,Running Sum of Population,2014,2961.260851800
HUN,4,Running Sum of Population,2024,2962.320500500
MYS,6,Running Sum of Population,2048,2964.040507300
SLV,7,Running Sum of Population,2072,2964.559463800
ECU,7,Running Sum of Population,2101,2965.538729600
TTO,5,Running Sum of Population,2136,2965.658852000
KAZ,2,Running Sum of Population,2155,2967.271935200
JAM,7,Running Sum of Population,2183,2967.507575200
EST,1,Running Sum of Population,2188,2967.663765200
BRA,7,Running Sum of Population,2194,2982.110803600
DZA,9,Running Sum of Population,2195,2984.514327200
BLR,2,Running Sum of Population,2204,2985.528327200
TUN,8,Running Sum of Population,2207,2986.314089100
CYP,1,Running Sum of Population,2225,2986.387742200
MEX,4,Running Sum of Population,2231,2994.488751800
CHL,7,Running Sum of Population,2239,2995.762092700
JOR,6,Running Sum of Population,2246,2996.056892700
HUN,5,Running Sum of Population,2250,2997.116541400
PRY,5,Running Sum of Population,2257,2997.518904200
URY,3,Running Sum of Population,2258,2997.825720800
POL,2,Running Sum of Population,2278,3001.608169600
ITA,1,Running Sum of Population,2279,3007.271098400
LTU,2,Running Sum of Population,2303,3007.636603300
IRN,7,Running Sum of Population,2320,3012.817677700
MRT,10,Running Sum of Population,2339,3013.006910500
TUR,7,Running Sum of Population,2357,3018.234760500
CRI,7,Running Sum of Population,2384,3018.526417100
IRL,2,Running Sum of Population,2387,3018.878912000
